exam_name,field_changed,old_value,new_value,reason,source_checked,confidence,check_method,date_checked
ICAR AIEEA-UG (via CUET),application_deadline,,10 June 2026,The application window for the 2026 admission cycle closed on 10 June 2026 (with application start on 08 May 2026).,https://exams.nta.nic.in/icar/,high,anchored_with_site_search,2026-08-31
VITEEE – Bio-Engineering/Tech/Bioinformatics,application_deadline,NOT RECORDED,"April 12, 2026",Filling in previously unrecorded application deadline data found on the official portal.,https://viteee.vit.ac.in,high,anchored_with_site_search,2026-08-31
SRMJEEE (SRM Univ) – Undergraduate Engineering,application_deadline,NOT RECORDED,Multiple phases across the year (Phase 3 typically concluding in July 2026),"The database record had no deadline recorded, and official 2026 admission cycles feature structured deadlines across multiple phases.",https://applications.srmist.edu.in,high,anchored_with_site_search,2026-08-31
SRMJEEE (SRM Univ) – Undergraduate Engineering,domicile_reservation_state,NOT RECORDED,None (All India open admissions via SRMJEEE / national eligibility),Official admission criteria specify no state-specific domicile reservations; seats are open on a national/merit basis across participating campuses.,https://applications.srmist.edu.in,high,anchored_with_site_search,2026-08-31
SRMJEEE (SRM Univ) – Bio-Engineering/Tech/Bioinformatics,application_deadline,NOT RECORDED,"Phase 1: April 16, 2026; Phase 2: June 4, 2026; Phase 3: June 30, 2026 (for SRMJEEE UG)",Filling in previously missing data as per official notification schedule for 2026 admissions.,https://applications.srmist.edu.in,high,anchored_with_site_search,2026-08-31
COMEDK UGET (Karnataka Pvt Engg Colleges),application_deadline,NOT RECORDED,"March 23, 2026","The official notification and updates from COMEDK UGET 2026 recorded the final application deadline (following extensions) as March 23, 2026.",https://comedk.org,high,anchored_with_site_search,2026-08-31
AEEE (Amrita Univ Engg Exam),application_deadline,NOT RECORDED,"August 15, 2026","The database record had no application deadline recorded, and official notifications for 2026 admissions specify the application deadline (extended) as August 15, 2026.",https://aeee.amrita.edu,high,anchored,2026-08-31
KIITEE (KIIT University Exam) – Undergraduate Engineering,application_deadline,NOT RECORDED,28th August 2026 (Phase 5),"The official KIITEE calendar lists the last date of application for the active Phase 5 cycle as August 28, 2026, filling in previously missing data.",https://kiitee.kiit.ac.in,high,anchored_with_site_search,2026-08-31
KIITEE (KIIT University Exam) - Biotechnology/B.Pharma,application_deadline,NOT RECORDED,28th August 2026 (Phase 5),"The database record had no application deadline recorded, and the official KIITEE calendar lists active phase deadlines ending on August 28, 2026.",https://kiitee.kiit.ac.in,high,anchored_with_site_search,2026-08-31
KIITEE (KIIT University Exam) - LL.B/BBA/Others,application_deadline,NOT RECORDED,28th August 2026 (Phase 5),"The database record had no application deadline recorded, and official calendar records show specific phase deadlines up to August 28, 2026.",https://kiitee.kiit.ac.in,high,anchored_with_site_search,2026-08-31
Symbiosis Entrance Tests: SET (General),application_deadline,NOT RECORDED,"April 15, 2026","The official application deadline for SET 2026 is recorded as April 15, 2026.",https://set-test.org,high,anchored_with_site_search,2026-09-01
SLAT (Symbiosis Law Aptitude),application_deadline,NOT RECORDED,"April 15, 2026","Official notification specifies April 15, 2026 as the last date for SET/SITEEE registration.",https://set-test.org,high,anchored_with_site_search,2026-09-01
SEED (Symbiosis Entrance – Design),application_deadline,NOT RECORDED,15 April 2026,"The official application deadline for the exam found on the source website is April 15, 2026.",https://set-test.org,high,anchored_with_site_search,2026-09-01
SITEEE (Symbiosis Engineering),application_deadline,NOT RECORDED,15 April 2026,"The official notification and application portal records list April 15, 2026, as the last registration date for the exam [1.1.5].",https://set-test.org,high,anchored_with_site_search,2026-09-01
NIFT Entrance (Fashion & Design),application_deadline,NOT RECORDED,"January 16, 2026 (Regular) / January 19, 2026 (With Late Fee)","The database record had application_deadline as NOT RECORDED, and current official notices for NIFT 2026 admissions specify these closing dates.",https://nift.ac.in/admissions,high,anchored_with_site_search,2026-09-01
UCEED (UG Common Design Exam),application_deadline,NOT RECORDED,"Not yet released (Official notification and application details scheduled to be released on October 1, 2026)","The database record had no application deadline recorded, and current official announcements state that the notification and application details for UCEED 2027 will be released on October 1, 2026.",https://www.uceed.iitb.ac.in,high,anchored_with_site_search,2026-09-01
SAT (Scholastic Aptitude Test) – for overseas,application_deadline,NOT RECORDED,"Multiple upcoming dates (e.g., September 18, 2026 for October 3, 2026 test; October 23, 2026 for November 7, 2026 test)","The database record had no application deadline recorded, and official registration deadlines are active for the 2026–2027 test schedule.",https://satsuite.collegeboard.org/sat,high,anchored_with_site_search,2026-09-01
NIFT Entrance Exam 2026 (NIFTEE),application_deadline,NOT RECORDED,"January 16, 2026 (Extended; late fee submission up to January 19, 2026)",Filling in previously unrecorded application deadline data for NIFTEE-2026 based on official NTA schedule.,https://exams.nta.nic.in/niftee/,high,anchored_with_site_search,2026-09-02
AFCAT (Air Force Common Adm Test),application_deadline,NOT RECORDED,21 June 2026,The database record for application_deadline was missing. Official notification for AFCAT 02/2026 specifies the extended online application deadline as 21 June 2026.,https://afcat.cdac.in,high,anchored_with_site_search,2026-09-02
